forecast_date,ticker,forecasted_return
2023-07-31,BRITANNIA,0.005384067204208925,2023-07-15
2023-08-07,BRITANNIA,-0.0022282649158755353,2023-07-15
2023-07-17,CIPLA,0.014491722764802761,2023-07-15
2023-07-24,CIPLA,-0.004163507116099795,2023-07-15
2023-07-31,CIPLA,0.003736791933744662,2023-07-15
2023-08-07,CIPLA,0.007402842089947969,2023-07-15
2023-07-17,COALINDIA,-0.0061245430560286735,2023-07-15
2023-07-24,COALINDIA,0.026595927457512283,2023-07-15
2023-07-31,COALINDIA,0.009291623086593733,2023-07-15
2023-08-07,COALINDIA,-0.005355361547122961,2023-07-15
2023-07-17,COLPAL,0.004768190508411209,2023-07-15
2023-07-24,COLPAL,0.007927264103314537,2023-07-15
2023-07-31,COLPAL,0.00043634792096911685,2023-07-15
2023-08-07,COLPAL,0.005817726957805848,2023-07-15
2023-07-17,DRREDDY,0.04375725619174459,2023-07-15
2023-07-24,DRREDDY,0.005661353188040439,2023-07-15
2023-07-31,DRREDDY,0.00226054425928811,2023-07-15
2023-08-07,DRREDDY,0.0063764973373815,2023-07-15
2023-07-17,GSPL,0.004106884862914501,2023-07-15
2023-07-24,GSPL,0.003603615253787098,2023-07-15
2023-07-31,GSPL,-0.009900384885916753,2023-07-15
2023-08-07,GSPL,0.0028979643332168025,2023-07-15
2023-07-17,ITC,0.012973971653621847,2023-07-15
2023-07-24,ITC,-0.012778620214281378,2023-07-15
2023-07-31,ITC,-0.006617191352260252,2023-07-15
2023-08-07,ITC,-0.0009644976883106665,2023-07-15
2023-07-17,JBCHEPHARM,0.00439895107935444,2023-07-15
2023-07-24,JBCHEPHARM,0.005757136943119248,2023-07-15
2023-07-31,JBCHEPHARM,0.016486617051154066,2023-07-15
2023-08-07,JBCHEPHARM,0.028365094221702823,2023-07-15
2023-07-17,MARICO,-0.008129951086357164,2023-07-15
2023-07-24,MARICO,0.025951830960282852,2023-07-15
2023-07-31,MARICO,-0.004060062606681479,2023-07-15
2023-08-07,MARICO,0.030888652320047193,2023-07-15
2023-07-17,NAVNETEDUL,-0.000133736872744397,2023-07-15
2023-07-24,NAVNETEDUL,-0.011342302757145128,2023-07-15
2023-07-31,NAVNETEDUL,-0.01409150759893418,2023-07-15
2023-08-07,NAVNETEDUL,0.005425605568155298,2023-07-15
2023-07-17,NTPC,-0.007883256041882348,2023-07-15
2023-07-24,NTPC,0.009775492232094498,2023-07-15
2023-07-31,NTPC,-0.006305244259757627,2023-07-15
2023-08-07,NTPC,0.00674157470945214,2023-07-15
2023-07-17,POLYMED,-0.008633095191328011,2023-07-15
2023-07-24,POLYMED,0.020609008071357102,2023-07-15
2023-07-31,POLYMED,-0.018176443896541234,2023-07-15
2023-08-07,POLYMED,0.0057907767797464186,2023-07-15
2023-07-17,RELIANCE,0.019567113068565643,2023-07-15
2023-07-24,RELIANCE,0.013054790919051833,2023-07-15
2023-07-31,RELIANCE,0.004777119013921508,2023-07-15
2023-08-07,RELIANCE,-0.0007546097793999713,2023-07-15
2023-07-17,SUNPHARMA,0.009972265187053289,2023-07-15
2023-07-24,SUNPHARMA,0.005344170417026451,2023-07-15
2023-07-31,SUNPHARMA,0.010328879853549834,2023-07-15
2023-08-07,SUNPHARMA,0.0010072857833422382,2023-07-15
2023-07-17,UNOMINDA,-0.0032302772751013047,2023-07-15
2023-07-24,UNOMINDA,0.00509524019998954,2023-07-15
2023-07-31,UNOMINDA,0.018608877308185244,2023-07-15
2023-08-07,UNOMINDA,0.0015200526619195782,2023-07-15
2023-07-17,VBL,0.012193149269033735,2023-07-15
2023-07-24,VBL,0.0057109326278270735,2023-07-15
2023-07-31,VBL,0.008198353815249342,2023-07-15
2023-08-07,VBL,0.014399416688376096,2023-07-15
2023-07-17,ZYDUSLIFE,0.0033358010269991345,2023-07-15
2023-07-24,ZYDUSLIFE,0.011363716957567969,2023-07-15
2023-07-31,ZYDUSLIFE,0.008661209826497408,2023-07-15
2023-08-07,ZYDUSLIFE,-0.012713969612259778,2023-07-15
2023-07-24,ABBOTINDIA,0.0014815224853746744,2023-07-22
2023-07-31,ABBOTINDIA,-0.009231779228156076,2023-07-22
2023-08-07,ABBOTINDIA,-0.008358780209908273,2023-07-22
2023-08-14,ABBOTINDIA,0.02030996316587767,2023-07-22
2023-07-24,ADANIPOWER,0.009377168142768144,2023-07-22
2023-07-31,ADANIPOWER,-0.019612035702036353,2023-07-22
2023-08-07,ADANIPOWER,0.017383755815000047,2023-07-22
2023-08-14,ADANIPOWER,-0.024844029763752502,2023-07-22
2023-07-24,BALRAMCHIN,0.012084409052311848,2023-07-22
2023-07-31,BALRAMCHIN,0.0039016434229551867,2023-07-22
2023-08-07,BALRAMCHIN,0.00817030037760195,2023-07-22
2023-08-14,BALRAMCHIN,0.008686055168285368,2023-07-22
2023-07-24,BPCL,-0.010983820455157195,2023-07-22
2023-07-31,BPCL,0.010977522989145293,2023-07-22
2023-08-07,BPCL,-0.009166693586988635,2023-07-22
2023-08-14,BPCL,0.0014387295499642227,2023-07-22
2023-07-24,BRITANNIA,-0.005060753679493993,2023-07-22
2023-07-31,BRITANNIA,0.00013090337911865496,2023-07-22
2023-08-07,BRITANNIA,0.0008090733550983188,2023-07-22
2023-08-14,BRITANNIA,-0.001671477847810592,2023-07-22
2023-07-24,CIPLA,-0.00834827305308067,2023-07-22
2023-07-31,CIPLA,-0.004983057502050338,2023-07-22
2023-08-07,CIPLA,0.0005940131186117164,2023-07-22
2023-08-14,CIPLA,-0.0033336408750537813,2023-07-22
2023-07-24,COALINDIA,0.008932829770486407,2023-07-22
2023-07-31,COALINDIA,0.008107513216302277,2023-07-22
2023-08-07,COALINDIA,-0.0020995560480174566,2023-07-22
2023-08-14,COALINDIA,-0.007487242674365664,2023-07-22
2023-07-24,COLPAL,0.00866996034611525,2023-07-22
2023-07-31,COLPAL,0.0021771385660513316,2023-07-22
2023-08-07,COLPAL,0.006347623313024075,2023-07-22
2023-08-14,COLPAL,0.015517488795050742,2023-07-22
2023-07-24,DRREDDY,0.019144461500656376,2023-07-22
2023-07-31,DRREDDY,0.0022681897586311916,2023-07-22
2023-08-07,DRREDDY,0.00764505277816102,2023-07-22
2023-08-14,DRREDDY,0.0016237777327723516,2023-07-22
2023-07-24,GSPL,0.008492897596915749,2023-07-22
2023-07-31,GSPL,-0.006559081825493929,2023-07-22
2023-08-07,GSPL,0.020772058629244878,2023-07-22
2023-08-14,GSPL,-0.011041187204377413,2023-07-22
2023-07-24,ITC,-0.014608392254963937,2023-07-22
2023-07-31,ITC,-0.005832696660557162,2023-07-22
2023-08-07,ITC,-0.00322190923647491,2023-07-22
2023-08-14,ITC,0.0011054138293482149,2023-07-22
2023-07-24,JBCHEPHARM,-0.004322233333960612,2023-07-22
2023-07-31,JBCHEPHARM,0.019607302536572474,2023-07-22
2023-08-07,JBCHEPHARM,0.0029989685326050706,2023-07-22
2023-08-14,JBCHEPHARM,0.019528700517747865,2023-07-22
2023-07-24,MARICO,0.0006966680425547519,2023-07-22
2023-07-31,MARICO,-0.004686042039066963,2023-07-22
2023-08-07,MARICO,0.018606814360710135,2023-07-22
2023-08-14,MARICO,-0.019244261417152585,2023-07-22
2023-07-24,NAVNETEDUL,-0.02627339599747621,2023-07-22
2023-07-31,NAVNETEDUL,-0.025226050406165653,2023-07-22
2023-08-07,NAVNETEDUL,0.004723327715695973,2023-07-22
2023-08-14,NAVNETEDUL,0.02117656187567685,2023-07-22
2023-07-24,NTPC,0.020548623409793805,2023-07-22
2023-07-31,NTPC,-0.005485561516671278,2023-07-22
2023-08-07,NTPC,0.018686016970462897,2023-07-22
2023-08-14,NTPC,0.0008766923243862746,2023-07-22
2023-07-24,POLYMED,0.016389614256900702,2023-07-22
2023-07-31,POLYMED,-0.018210349492357177,2023-07-22
2023-08-07,POLYMED,0.007827266573346023,2023-07-22
2023-08-14,POLYMED,0.00869861449915564,2023-07-22
2023-07-24,RELIANCE,0.009354114930188605,2023-07-22
2023-07-31,RELIANCE,0.005345681363180387,2023-07-22
2023-08-07,RELIANCE,9.507610476129143e-05,2023-07-22
2023-08-14,RELIANCE,-0.00915026479530204,2023-07-22
2023-07-24,SUNPHARMA,0.0016621493345364434,2023-07-22
2023-07-31,SUNPHARMA,0.007332522874550771,2023-07-22
2023-08-07,SUNPHARMA,-0.00015032938243736622,2023-07-22
2023-08-14,SUNPHARMA,0.004230484439721058,2023-07-22
2023-07-24,UNOMINDA,0.011779775953802966,2023-07-22
2023-07-31,UNOMINDA,0.015138241228951884,2023-07-22
2023-08-07,UNOMINDA,0.004184820984197494,2023-07-22
2023-08-14,UNOMINDA,0.02059457496783455,2023-07-22
2023-07-24,VBL,0.023855507868755448,2023-07-22
2023-07-31,VBL,0.004113021221027599,2023-07-22
2023-08-07,VBL,0.006745902032545928,2023-07-22
2023-08-14,VBL,0.02179820176860355,2023-07-22
2023-07-24,ZYDUSLIFE,0.010271045573693684,2023-07-22
2023-07-31,ZYDUSLIFE,0.003492950156480229,2023-07-22
2023-08-07,ZYDUSLIFE,-0.014230839835742309,2023-07-22
2023-08-14,ZYDUSLIFE,-0.0030389981730930275,2023-07-22
2023-07-31,ABBOTINDIA,-0.00608745099759773,2023-07-29
2023-08-07,ABBOTINDIA,-0.0035125639580575047,2023-07-29
2023-08-14,ABBOTINDIA,0.01942693832551311,2023-07-29
2023-08-21,ABBOTINDIA,0.009652558779691461,2023-07-29
2023-07-31,ADANIPOWER,0.006355489988795152,2023-07-29
2023-08-07,ADANIPOWER,0.01569595745160711,2023-07-29
2023-08-14,ADANIPOWER,-0.004919957686943962,2023-07-29
2023-08-21,ADANIPOWER,-0.020917146402138695,2023-07-29
2023-07-31,BALRAMCHIN,0.016311271399722327,2023-07-29
2023-08-07,BALRAMCHIN,0.0064627854846433085,2023-07-29
2023-08-14,BALRAMCHIN,0.01094133039270145,2023-07-29
2023-08-21,BALRAMCHIN,0.041756928158415245,2023-07-29
2023-07-31,BPCL,0.016782334791589245,2023-07-29
2023-08-07,BPCL,-0.008591409393558723,2023-07-29
2023-08-14,BPCL,-0.007108212641094532,2023-07-29
2023-08-21,BPCL,-0.008928917368230121,2023-07-29
2023-07-31,BRITANNIA,-0.000441517687985746,2023-07-29
2023-08-07,BRITANNIA,0.008306634885861272,2023-07-29
2023-08-14,BRITANNIA,-0.005117731653681648,2023-07-29
2023-08-21,BRITANNIA,0.0009741671199854432,2023-07-29
2023-07-31,CIPLA,-0.007270286613402845,2023-07-29
2023-08-07,CIPLA,0.004712669189940194,2023-07-29
2023-08-14,CIPLA,-0.0050549263348429315,2023-07-29
2023-08-21,CIPLA,-0.020735479300929595,2023-07-29
2023-07-31,COALINDIA,0.012309880146340624,2023-07-29
2023-08-07,COALINDIA,-0.004620560645527195,2023-07-29
2023-08-14,COALINDIA,0.0031767081556621493,2023-07-29
2023-08-21,COALINDIA,-0.022586462611566334,2023-07-29
2023-07-31,COLPAL,-0.0014812200644420286,2023-07-29
2023-08-07,COLPAL,0.011513899111912536,2023-07-29
2023-08-14,COLPAL,0.013362863103507216,2023-07-29
2023-08-21,COLPAL,-0.00047138797405449096,2023-07-29
2023-07-31,DRREDDY,0.006193088547589652,2023-07-29
2023-08-07,DRREDDY,0.007690251831123606,2023-07-29
2023-08-14,DRREDDY,-0.006464699974861656,2023-07-29
2023-08-21,DRREDDY,-0.0009776114529221301,2023-07-29
2023-07-31,GSPL,-0.004890733588287804,2023-07-29
2023-08-07,GSPL,0.007477180581969134,2023-07-29
2023-08-14,GSPL,-0.025577003777049686,2023-07-29
2023-08-21,GSPL,-0.0026844542310084764,2023-07-29
2023-07-31,ITC,-0.0017914804349938721,2023-07-29
2023-08-07,ITC,0.0009556877083908713,2023-07-29
2023-08-14,ITC,-5.895936961518389e-05,2023-07-29
2023-08-21,ITC,0.01797267822749663,2023-07-29
2023-07-31,JBCHEPHARM,0.02201043655476314,2023-07-29
2023-08-07,JBCHEPHARM,0.0021196025426178855,2023-07-29
2023-08-14,JBCHEPHARM,0.012710108788515962,2023-07-29
2023-08-21,JBCHEPHARM,0.011114676404490806,2023-07-29
2023-07-31,MARICO,-0.013183787061947547,2023-07-29
2023-08-07,MARICO,0.015975083139859757,2023-07-29
2023-08-14,MARICO,-0.02134008289105681,2023-07-29
2023-08-21,MARICO,-0.002097959977208088,2023-07-29
2023-07-31,NAVNETEDUL,-0.007536050209968282,2023-07-29
2023-08-07,NAVNETEDUL,-0.0015715019201926743,2023-07-29
2023-08-14,NAVNETEDUL,0.02889328796527684,2023-07-29
2023-08-21,NAVNETEDUL,-0.003566224757127215,2023-07-29
2023-07-31,NTPC,-0.0033029635411430886,2023-07-29
2023-08-07,NTPC,0.011450895799560431,2023-07-29
2023-08-14,NTPC,0.0009397040789258564,2023-07-29
2023-08-21,NTPC,0.003233051226866571,2023-07-29
2023-07-31,POLYMED,-0.007713805025631528,2023-07-29
2023-08-07,POLYMED,0.009280590229871726,2023-07-29
2023-08-14,POLYMED,0.02463800049482304,2023-07-29
